player_name,overall,club
Kevin De Bruyne,91,Manchester City
Mohamed Salah,90,Liverpool
Virgil van Dijk,90,Liverpool
N'Golo Kanté,89,Chelsea
Alisson,89,Liverpool
Sadio Mané,89,Liverpool
Raheem Sterling,89,Manchester City
Harry Kane,89,Tottenham Hotspur
De Gea,89,Manchester United
Sergio Agüero,89,Manchester City
Ederson,88,Manchester City
Paul Pogba,88,Manchester United
Pierre-Emerick Aubameyang,88,Arsenal
David Silva,88,Manchester City
Hugo Lloris,88,Tottenham Hotspur
Bernardo Silva,87,Manchester City
Aymeric Laporte,87,Manchester City
Roberto Firmino,87,Liverpool
Heung Min Son,87,Tottenham Hotspur
Christian Eriksen,87,Tottenham Hotspur
Fernandinho,87,Manchester City
Leroy Sané,86,Manchester City
Andrew Robertson,86,Liverpool
Fabinho,86,Liverpool
Alexandre Lacazette,86,Arsenal
Toby Alderweireld,86,Tottenham Hotspur
Jan Vertonghen,86,Tottenham Hotspur
Rodri,85,Manchester City
Trent Alexander-Arnold,84,Liverpool
João Cancelo,84,Manchester City
Ricardo Pereira,84,Leicester City
Jamie Vardy,84,Leicester City
Kepa,84,Chelsea
Riyad Mahrez,84,Manchester City
Lucas Moura,84,Tottenham Hotspur
Bernd Leno,84,Arsenal
Kyle Walker,84,Manchester City
İlkay Gündoğan,84,Manchester City
Azpilicueta,84,Chelsea
Georginio Wijnaldum,84,Liverpool
Mesut Özil,84,Arsenal
João Moutinho,84,Wolverhampton Wanderers
Marcus Rashford,83,Manchester United
Giovani Lo Celso,83,Tottenham Hotspur
Nicolas Pépé,83,Arsenal
Davinson Sánchez,83,Tottenham Hotspur
Anthony Martial,83,Manchester United
Dele Alli,83,Tottenham Hotspur
Sébastien Haller,83,West Ham United
Jorginho,83,Chelsea
Jordan Pickford,83,Everton
John Stones,83,Manchester City
Felipe Anderson,83,West Ham United
Lucas Digne,83,Everton
Wilfried Zaha,83,Crystal Palace
Joel Matip,83,Liverpool
Jordan Henderson,83,Liverpool
Rui Patrício,83,Wolverhampton Wanderers
Kasper Schmeichel,83,Leicester City
Gabriel Jesus,82,Manchester City
Wilfred Ndidi,82,Leicester City
Rúben Neves,82,Wolverhampton Wanderers
Lucas Torreira,82,Arsenal
Naby Keïta,82,Liverpool
Mateo Kovačić,82,Chelsea
Antonio Rüdiger,82,Chelsea
Harry Maguire,82,Manchester United
Xherdan Shaqiri,82,Liverpool
Nicolás Otamendi,82,Manchester City
Pedro,82,Chelsea
Gylfi Sigurðsson,82,Everton
Willian,82,Chelsea
David Luiz,82,Arsenal
Sokratis,82,Arsenal
Łukasz Fabiański,82,West Ham United
Tanguy Ndombele,81,Tottenham Hotspur
Dani Ceballos,81,Arsenal
Victor Lindelöf,81,Manchester United
James Maddison,81,Leicester City
Youri Tielemans,81,Leicester City
Abdoulaye Doucouré,81,Watford
