player_name,overall,club
De Gea,90,Manchester United
Zlatan Ibrahimović,90,Manchester United
Thibaut Courtois,89,Chelsea
Eden Hazard,89,Chelsea
Mesut Özil,89,Arsenal
Sergio Agüero,89,Manchester City
Paul Pogba,88,Manchester United
Kevin De Bruyne,88,Manchester City
Hugo Lloris,88,Tottenham Hotspur
Petr Čech,88,Arsenal
Alexis Sánchez,87,Arsenal
David Silva,87,Manchester City
Diego Costa,86,Chelsea
Cesc Fàbregas,86,Chelsea
Santi Cazorla,86,Arsenal
Henrikh Mkhitaryan,85,Manchester United
Coutinho,85,Liverpool
İlkay Gündoğan,85,Manchester City
Toby Alderweireld,85,Tottenham Hotspur
Willian,85,Chelsea
Dimitri Payet,85,West Ham United
Laurent Koscielny,85,Arsenal
Vincent Kompany,85,Manchester City
Riyad Mahrez,84,Leicester City
Harry Kane,84,Tottenham Hotspur
Granit Xhaka,84,Arsenal
Romelu Lukaku,84,Everton
Nicolás Otamendi,84,Manchester City
Nemanja Matić,84,Chelsea
Christian Eriksen,84,Tottenham Hotspur
Chris Smalling,84,Manchester United
Aaron Ramsey,84,Arsenal
Azpilicueta,84,Chelsea
David Luiz,84,Chelsea
Juan Mata,84,Manchester United
Claudio Bravo,84,Manchester City
Daniel Sturridge,84,Liverpool
Steve Mandanda,84,Crystal Palace
Yaya Touré,84,Manchester City
John Terry,84,Chelsea
Islam Slimani,83,Leicester City
Nolito,83,Manchester City
Joel Matip,83,Liverpool
Shkodran Mustafi,83,Arsenal
Ander Herrera,83,Manchester United
Pedro,83,Chelsea
Oscar,83,Chelsea
Olivier Giroud,83,Arsenal
Jan Vertonghen,83,Tottenham Hotspur
Asmir Begović,83,Chelsea
José Fonte,83,Southampton
Gary Cahill,83,Chelsea
Ashley Williams,83,Everton
Leighton Baines,83,Everton
Wayne Rooney,83,Manchester United
Per Mertesacker,83,Arsenal
Eric Bailly,82,Manchester United
N'Golo Kanté,82,Chelsea
Anthony Martial,82,Manchester United
Sadio Mané,82,Liverpool
Loris Karius,82,Liverpool
Jack Butland,82,Stoke City
Raheem Sterling,82,Manchester City
Roberto Firmino,82,Liverpool
Dejan Lovren,82,Liverpool
Xherdan Shaqiri,82,Stoke City
Jack Wilshere,82,Bournemouth
Gylfi Sigurðsson,82,Swansea City
Marko Arnautović,82,Stoke City
Mamadou Sakho,82,Liverpool
Adam Lallana,82,Liverpool
Séamus Coleman,82,Everton
Morgan Schneiderlin,82,Manchester United
Kasper Schmeichel,82,Leicester City
Bacary Sagna,82,Manchester City
Moussa Dembélé,82,Tottenham Hotspur
Pablo Zabaleta,82,Manchester City
Fernandinho,82,Manchester City
Bastian Schweinsteiger,82,Manchester United
Victor Valdés,82,Middlesbrough
Phil Jagielka,82,Everton
Jamie Vardy,81,Leicester City
Luke Shaw,81,Manchester United
Michy Batshuayi,81,Chelsea
Virgil van Dijk,81,Southampton
Deulofeu,81,Everton
Lucas Pérez,81,Arsenal
Ross Barkley,81,Everton
Roberto Pereyra,81,Watford
Daley Blind,81,Manchester United
Nathaniel Clyne,81,Liverpool
Wilfried Bony,81,Stoke City
Francis Coquelin,81,Arsenal
Kyle Walker,81,Tottenham Hotspur
James McCarthy,81,Everton
Ron-Robert Zieler,81,Leicester City
Christian Benteke,81,Crystal Palace
Jordan Henderson,81,Liverpool
Loïc Rémy,81,Crystal Palace
Nacho Monreal,81,Arsenal
Bojan,81,Stoke City
Kevin Mirallas,81,Everton
Erik Lamela,81,Tottenham Hotspur
Ryan Shawcross,81,Stoke City
Antonio Valencia,81,Manchester United
Theo Walcott,81,Arsenal
Negredo,81,Middlesbrough
Michael Carrick,81,Manchester United
Sofiane Boufal,80,Southampton
Dele Alli,80,Tottenham Hotspur
Emre Can,80,Liverpool
Kurt Zouma,80,Chelsea
Héctor Bellerín,80,Arsenal
Memphis Depay,80,Manchester United
Borja Bastón,80,Swansea City
Phil Jones,80,Manchester United
Adrián,80,West Ham United
Salomón Rondón,80,West Bromwich Albion
Danny Welbeck,80,Arsenal
Danny Drinkwater,80,Leicester City
Matteo Darmian,80,Manchester United
Claudio Yacob,80,West Bromwich Albion
Angelo Ogbonna,80,West Ham United
Moussa Sissoko,80,Tottenham Hotspur
Nordin Amrabat,80,Watford
Georginio Wijnaldum,80,Liverpool
Branislav Ivanović,80,Chelsea
André Ayew,80,West Ham United
Winston Reid,80,West Ham United
Lucas Leiva,80,Liverpool
Danny Rose,80,Tottenham Hotspur
Yohan Cabaye,80,Crystal Palace
Łukasz Fabiański,80,Swansea City
Ben Foster,80,West Bromwich Albion
Gaël Clichy,80,Manchester City
Jesús Navas,80,Manchester City
Michel Vorm,80,Tottenham Hotspur
Jermain Defoe,80,Sunderland
Gareth Barry,80,Everton
Leroy Sané,79,Manchester City
Divock Origi,79,Liverpool
Kevin Wimmer,79,Tottenham Hotspur
Simone Zaza,79,West Ham United
Federico Fernández,79,Swansea City
Marcos Rojo,79,Manchester United
Gastón Ramírez,79,Middlesbrough
Gabriel,79,Arsenal
Cédric,79,Southampton
Heung Min Son,79,Tottenham Hotspur
Dušan Tadić,79,Southampton
Alex Oxlade-Chamberlain,79,Arsenal
Wilfried Zaha,79,Crystal Palace
Giannelli Imbula,79,Stoke City
Wahbi Khazri,79,Sunderland
Marcos Alonso,79,Chelsea
Manuel Lanzini,79,West Ham United
Kieran Gibbs,79,Arsenal
Aleksandar Kolarov,79,Manchester City
Sofiane Feghouli,79,West Ham United
Fernando,79,Manchester City
Max Gradel,79,Bournemouth
Dieumerci Mbokani,79,Hull City
David Ospina,79,Arsenal
Sergio Romero,79,Manchester United
Fraser Forster,79,Southampton
Steven Defour,79,Burnley
Ryan Bertrand,79,Southampton
Jonny Evans,79,West Bromwich Albion
Llorente,79,Swansea City
Mathieu Debuchy,79,Arsenal
Ibrahim Afellay,79,Stoke City
Scott Dann,79,Crystal Palace
Ashley Young,79,Manchester United
Ragnar Klavan,79,Liverpool
James Milner,79,Liverpool
Vincent Janssen,78,Tottenham Hotspur
Marten de Roon,78,Middlesbrough
Ben Davies,78,Tottenham Hotspur
John Stones,78,Manchester City
Nacer Chadli,78,West Bromwich Albion
Bruno Martins Indi,78,Stoke City
Nampalys Mendy,78,Leicester City
Charlie Austin,78,Southampton
Idrissa Gueye,78,Everton
Allan Nyom,78,West Bromwich Albion
Gökhan Töre,78,West Ham United
Yannick Bolasie,78,Everton
Victor Wanyama,78,Tottenham Hotspur
Mame Diouf,78,Stoke City
Jefferson Montero,78,Swansea City
Bernardo Espinosa,78,Middlesbrough
Joe Allen,78,Stoke City
Fabian Delph,78,Manchester City
Troy Deeney,78,Watford
Håvard Nordtveit,78,West Ham United
Andy Carroll,78,West Ham United
Ki Sung Yueng,78,Swansea City
Etienne Capoue,78,Watford
Marouane Fellaini,78,Manchester United
Simon Mignolet,78,Liverpool
James McArthur,78,Crystal Palace
Jack Cork,78,Swansea City
John Obi Mikel,78,Chelsea
Tom Heaton,78,Burnley
Mark Noble,78,West Ham United
Aaron Lennon,78,Everton
Christian Fuchs,78,Leicester City
Willy Caballero,78,Manchester City
Robert Huth,78,Leicester City
Wes Morgan,78,Leicester City
Gomes,78,Watford
Georges-Kévin Nkoudou,77,Tottenham Hotspur
Mohamed Elneny,77,Arsenal
Jesse Lingard,77,Manchester United
Luís Hernández,77,Leicester City
Eric Dier,77,Tottenham Hotspur
Ahmed Musa,77,Leicester City
Marco van Ginkel,77,Chelsea
Ramiro Funes Mori,77,Everton
Jordy Clasie,77,Southampton
Brice Dja Djédjé,77,Watford
Jordi Amat,77,Swansea City
Papy Djilobodji,77,Sunderland
