player_name,overall,club
De Gea,91,Manchester United
Kevin De Bruyne,91,Manchester City
Eden Hazard,91,Chelsea
David Silva,90,Manchester City
N'Golo Kanté,89,Chelsea
Harry Kane,89,Tottenham Hotspur
Sergio Agüero,89,Manchester City
Mohamed Salah,88,Liverpool
Christian Eriksen,88,Tottenham Hotspur
Pierre-Emerick Aubameyang,88,Arsenal
Hugo Lloris,88,Tottenham Hotspur
Virgil van Dijk,87,Liverpool
Paul Pogba,87,Manchester United
Jan Vertonghen,87,Tottenham Hotspur
Leroy Sané,86,Manchester City
Bernardo Silva,86,Manchester City
Ederson,86,Manchester City
Sadio Mané,86,Liverpool
Raheem Sterling,86,Manchester City
Roberto Firmino,86,Liverpool
Romelu Lukaku,86,Manchester United
Azpilicueta,86,Chelsea
Toby Alderweireld,86,Tottenham Hotspur
Mesut Özil,86,Arsenal
Fernandinho,86,Manchester City
Alisson,85,Liverpool
Dele Alli,85,Tottenham Hotspur
Riyad Mahrez,85,Manchester City
Alexandre Lacazette,85,Arsenal
Nicolás Otamendi,85,Manchester City
Alexis Sánchez,85,Manchester United
Vincent Kompany,85,Manchester City
Davinson Sánchez,84,Tottenham Hotspur
Aymeric Laporte,84,Manchester City
Anthony Martial,84,Manchester United
Fabinho,84,Liverpool
Jorginho,84,Chelsea
Heung Min Son,84,Tottenham Hotspur
Bernd Leno,84,Arsenal
Nemanja Matić,84,Manchester United
Kyle Walker,84,Manchester City
İlkay Gündoğan,84,Manchester City
Willian,84,Chelsea
Sokratis,84,Arsenal
Kasper Schmeichel,84,Leicester City
Gabriel Jesus,83,Manchester City
Naby Keïta,83,Liverpool
Mateo Kovačić,83,Chelsea
Kepa,83,Chelsea
Jordan Pickford,83,Everton
John Stones,83,Manchester City
Felipe Anderson,83,West Ham United
Lucas Moura,83,Tottenham Hotspur
Idrissa Gueye,83,Everton
Henrikh Mkhitaryan,83,Arsenal
Marcos Alonso,83,Chelsea
David Luiz,83,Chelsea
Juan Mata,83,Manchester United
Rui Patrício,83,Wolverhampton Wanderers
Cesc Fàbregas,83,Chelsea
Moussa Dembélé,83,Tottenham Hotspur
Lucas Torreira,82,Arsenal
Andrew Robertson,82,Liverpool
Fred,82,Manchester United
Jamie Vardy,82,Leicester City
Jesse Lingard,82,Manchester United
Antonio Rüdiger,82,Chelsea
Harry Maguire,82,Leicester City
Morata,82,Chelsea
Wilfried Zaha,82,Crystal Palace
Shkodran Mustafi,82,Arsenal
Pedro,82,Chelsea
Aaron Ramsey,82,Arsenal
Kieran Trippier,82,Tottenham Hotspur
Gylfi Sigurðsson,82,Everton
Marko Arnautović,82,West Ham United
Jordan Henderson,82,Liverpool
Georginio Wijnaldum,82,Liverpool
Olivier Giroud,82,Chelsea
Laurent Koscielny,82,Arsenal
Petr Čech,82,Arsenal
Marcus Rashford,81,Manchester United
Wilfred Ndidi,81,Leicester City
Eric Bailly,81,Manchester United
Jean Michaël Seri,81,Fulham
Andreas Christensen,81,Chelsea
Ricardo Pereira,81,Leicester City
