player_name,overall,club
Kevin De Bruyne,90,Manchester City
Eden Hazard,90,Chelsea
Thibaut Courtois,89,Chelsea
Sergio Agüero,89,Manchester City
Alexis Sánchez,88,Arsenal
Hugo Lloris,88,Tottenham Hotspur
Zlatan Ibrahimović,88,Manchester United
Christian Eriksen,87,Tottenham Hotspur
Harry Kane,86,Tottenham Hotspur
Romelu Lukaku,86,Manchester United
Coutinho,86,Liverpool
Azpilicueta,86,Chelsea
Toby Alderweireld,86,Tottenham Hotspur
Petr Čech,86,Arsenal
Alexandre Lacazette,85,Arsenal
Henrikh Mkhitaryan,85,Manchester United
Nicolás Otamendi,85,Manchester City
İlkay Gündoğan,85,Manchester City
David Luiz,85,Chelsea
Diego Costa,85,Chelsea
Jan Vertonghen,85,Tottenham Hotspur
Cesc Fàbregas,85,Chelsea
Vincent Kompany,85,Manchester City
Eric Bailly,84,Manchester United
Ederson,84,Manchester City
Mohamed Salah,84,Liverpool
Sadio Mané,84,Liverpool
Raheem Sterling,84,Manchester City
Nemanja Matić,84,Manchester United
Pedro,84,Chelsea
Laurent Koscielny,84,Arsenal
Fernandinho,84,Manchester City
Leroy Sané,83,Manchester City
Riyad Mahrez,83,Leicester City
Virgil van Dijk,83,Southampton
Roberto Firmino,83,Liverpool
Joel Matip,83,Liverpool
Idrissa Gueye,83,Everton
Shkodran Mustafi,83,Arsenal
Ander Herrera,83,Manchester United
Kyle Walker,83,Manchester City
Willian,83,Chelsea
Juan Mata,83,Manchester United
Antonio Valencia,83,Manchester United
Gary Cahill,83,Chelsea
Kasper Schmeichel,83,Leicester City
Moussa Dembélé,83,Tottenham Hotspur
Santi Cazorla,83,Arsenal
Yaya Touré,83,Manchester City
Andreas Christensen,82,Chelsea
Anthony Martial,82,Manchester United
Antonio Rüdiger,82,Chelsea
Eric Dier,82,Tottenham Hotspur
Heung Min Son,82,Tottenham Hotspur
Granit Xhaka,82,Arsenal
Xherdan Shaqiri,82,Stoke City
Iborra,82,Leicester City
Victor Wanyama,82,Tottenham Hotspur
Aaron Ramsey,82,Arsenal
Gylfi Sigurðsson,82,Everton
Georginio Wijnaldum,82,Liverpool
Adam Lallana,82,Liverpool
Olivier Giroud,82,Arsenal
Morgan Schneiderlin,82,Everton
Asmir Begović,82,Bournemouth
Daniel Sturridge,82,Liverpool
Marcus Rashford,81,Manchester United
Davinson Sánchez,81,Tottenham Hotspur
Tiémoué Bakayoko,81,Chelsea
Islam Slimani,81,Leicester City
