player_name,overall,club
Eden Hazard,89,Chelsea
David Silva,88,Manchester City
Mesut Özil,87,Arsenal
Cesc Fàbregas,87,Chelsea
Sergio Agüero,87,Manchester City
De Gea,86,Manchester United
Kevin De Bruyne,86,Manchester City
Thibaut Courtois,86,Chelsea
Alexis Sánchez,86,Arsenal
Bastian Schweinsteiger,86,Manchester United
Diego Costa,85,Chelsea
Hugo Lloris,85,Tottenham Hotspur
Joe Hart,85,Manchester City
Santi Cazorla,85,Arsenal
Vincent Kompany,85,Manchester City
Wayne Rooney,85,Manchester United
Petr Čech,85,Arsenal
Yaya Touré,85,Manchester City
John Terry,85,Chelsea
Nicolás Otamendi,84,Manchester City
Nemanja Matić,84,Chelsea
Coutinho,84,Liverpool
Oscar,84,Chelsea
Juan Mata,84,Manchester United
Christian Eriksen,83,Tottenham Hotspur
Pedro,83,Chelsea
Daniel Sturridge,83,Liverpool
Falcao,83,Chelsea
Samir Nasri,83,Manchester City
Laurent Koscielny,83,Arsenal
Gary Cahill,83,Chelsea
Leighton Baines,83,Everton
Per Mertesacker,83,Arsenal
Raheem Sterling,82,Manchester City
Roberto Firmino,82,Liverpool
Aaron Ramsey,82,Arsenal
Azpilicueta,82,Chelsea
Christian Benteke,82,Liverpool
Willian,82,Chelsea
Morgan Schneiderlin,82,Manchester United
Jan Vertonghen,82,Tottenham Hotspur
Asmir Begović,82,Chelsea
Pablo Zabaleta,82,Manchester City
Victor Valdés,82,Manchester United
Memphis Depay,81,Manchester United
Marcos Rojo,81,Manchester United
Romelu Lukaku,81,Everton
Ander Herrera,81,Manchester United
Wilfried Bony,81,Manchester City
Chris Smalling,81,Manchester United
Jack Wilshere,81,Arsenal
Matteo Darmian,81,Manchester United
Toby Alderweireld,81,Tottenham Hotspur
Mamadou Sakho,81,Liverpool
Séamus Coleman,81,Everton
Olivier Giroud,81,Arsenal
Dimitri Payet,81,West Ham United
José Fonte,81,Southampton
Martin Škrtel,81,Liverpool
Theo Walcott,81,Arsenal
Ashley Williams,81,Swansea City
Martín Demichelis,81,Manchester City
Phil Jagielka,81,Everton
Deulofeu,80,Everton
Harry Kane,80,Tottenham Hotspur
Ross Barkley,80,Everton
Phil Jones,80,Manchester United
Xherdan Shaqiri,80,Stoke City
Daley Blind,80,Manchester United
Nathaniel Clyne,80,Liverpool
James McCarthy,80,Everton
Kieran Gibbs,80,Arsenal
Ramires,80,Chelsea
Georginio Wijnaldum,80,Newcastle United
Adam Lallana,80,Liverpool
Loïc Rémy,80,Chelsea
Branislav Ivanović,80,Chelsea
Nacho Monreal,80,Arsenal
Bojan,80,Stoke City
Kevin Mirallas,80,Everton
Erik Lamela,80,Tottenham Hotspur
Ryan Shawcross,80,Stoke City
Yohan Cabaye,80,Crystal Palace
Moussa Dembélé,80,Tottenham Hotspur
Gaël Clichy,80,Manchester City
Jesús Navas,80,Manchester City
James Milner,80,Liverpool
Michel Vorm,80,Tottenham Hotspur
Fernandinho,80,Manchester City
Mikel Arteta,80,Arsenal
Michael Carrick,80,Manchester United
Tim Howard,80,Everton
Tomáš Rosický,80,Arsenal
Dušan Tadić,79,Southampton
Alex Oxlade-Chamberlain,79,Arsenal
Dejan Lovren,79,Liverpool
Eliaquim Mangala,79,Manchester City
Francis Coquelin,79,Arsenal
Salomón Rondón,79,West Bromwich Albion
Kyle Walker,79,Tottenham Hotspur
Danny Welbeck,79,Arsenal
Aleksandar Kolarov,79,Manchester City
Marko Arnautović,79,Stoke City
Angelo Ogbonna,79,West Ham United
Jordan Henderson,79,Liverpool
Max Gradel,79,Bournemouth
Jeremain Lens,79,Sunderland
André Ayew,79,Swansea City
Winston Reid,79,West Ham United
Lucas Leiva,79,Liverpool
Tim Krul,79,Newcastle United
Micah Richards,79,Aston Villa
Antonio Valencia,79,Manchester United
Bacary Sagna,79,Manchester City
Ben Foster,79,West Bromwich Albion
Gökhan Inler,79,Leicester City
Mathieu Debuchy,79,Arsenal
Alexandre Song,79,West Ham United
Ashley Young,79,Manchester United
Jermain Defoe,79,Sunderland
Gareth Barry,79,Everton
Abdul Rahman Baba,78,Chelsea
