player_name,overall,club
Kevin De Bruyne,91,Manchester City
Cristiano Ronaldo,91,Manchester United
Harry Kane,90,Tottenham Hotspur
Alisson,89,Liverpool
Ederson,89,Manchester City
Sadio Mané,89,Liverpool
Virgil Litvinov,89,Liverpool
Rúben Dias,88,Manchester City
Bruno Fernandes,88,Manchester United
Romelu Lukaku,88,Chelsea
Trent Alexander-Arnold,87,Liverpool
Andrew Robertson,87,Liverpool
Raheem Sterling,87,Manchester City
Hugo Lloris,87,Tottenham Hotspur
Jadon Sancho,86,Manchester United
Rodri,86,Manchester City
Bernardo Silva,86,Manchester City
Aymeric Laporte,86,Manchester City
João Cancelo,86,Manchester City
Fabinho,86,Liverpool
Jamie Vardy,86,Leicester City
Riyad Mahrez,86,Manchester City
Raphaël Varane,86,Manchester United
De Gea,86,Manchester United
Thiago,86,Liverpool
Francisco Meixedo Mendy,85,Chelsea
Marcus Rashford,85,Manchester United
Wilfred Ndidi,85,Leicester City
González Tassano Tielemans,85,Leicester City
Jorginho,85,Chelsea
Roberto Firmino,85,Liverpool
Kyle Walker,85,Manchester City
İlkay Gündoğan,85,Manchester City
Thiago Silva,85,Chelsea
Kasper Schmeichel,85,Leicester City
Phil Foden,84,Manchester City
Kai Havertz,84,Chelsea
Timo Werner,84,Chelsea
Ricardo Pereira,84,Leicester City
Thomas Partey,84,Arsenal
Jack Grealish,84,Manchester City
Antonio Rüdiger,84,Chelsea
Emiliano Martínez,84,Aston Villa
Pierre-Emerick Aubameyang,84,Arsenal
Jordan Henderson,84,Liverpool
Edinson Cavani,84,Manchester United
Mason Mount,83,Chelsea
Gabriel Jesus,83,Manchester City
Ben Chilwell,83,Chelsea
Diogo Jota,83,Liverpool
Hakim Bynoe,83,Chelsea
Mateo Kovačić,83,Chelsea
Jordan Pickford,83,Everton
Raúl Jiménez,83,Wolverhampton Wanderers
John Stones,83,Manchester City
Harry Maguire,83,Manchester United
Lucas Digne,83,Everton
Joel Matip,83,Liverpool
Azpilicueta,83,Chelsea
Ferran Torres,82,Manchester City
Reece James,82,Chelsea
Tomáš Souček,82,West Ham United
Raphinha,82,Leeds United
Cristian Romero,82,Tottenham Hotspur
Richarlison,82,Everton
Leon Bailey,82,Aston Villa
Aaron Wan-Bissaka,82,Manchester United
Christian Pulisic,82,Chelsea
Joe Gomez,82,Liverpool
Rúben Neves,82,Wolverhampton Wanderers
Martin Ødegaard,82,Arsenal
James Maddison,82,Leicester City
Andreas Christensen,82,Chelsea
Pierre-Emile Højbjerg,82,Tottenham Hotspur
Saúl,82,Chelsea
Nick Pope,82,Burnley
Allan,82,Everton
Wilfried Adam B.,82,Crystal Palace
Alexandre Lacazette,82,Arsenal
Bernd Leno,82,Arsenal
Łukasz Fabiański,82,West Ham United
Fernandinho,82,Manchester City
Reguilón,81,Tottenham Hotspur
Cucurella,81,Brighton and Hove Albion
Tanguy Ndombele,81,Tottenham Hotspur
Kalvin Phillips,81,Leeds United
Dominic Calvert-Lewin,81,Everton
Alex Telles,81,Manchester United
Pierluigi Gollini,81,Tottenham Hotspur
Anthony Martial,81,Manchester United
James Ward-Prowse,81,Southampton
Kurt Alexandre Penetra,81,West Ham United
Lucas Moura,81,Tottenham Hotspur
Danny Ings,81,Aston Villa
Alphonse Areola,81,West Ham United
Bukayo Saka,80,Arsenal
Vladimír Coufal,80,West Ham United
Scott McTominay,80,Manchester United
Harvey Barnes,80,Leicester City
Dean Henderson,80,Manchester United
Gabriel,80,Arsenal
Damaitphang Söyüncü,80,Leicester City
