player_name,overall,club
Erling Haaland,91,Manchester City
Kevin De Bruyne,91,Manchester City
Rúben Dias,89,Manchester City
Rodri,89,Manchester City
Alisson,89,Liverpool
Mohamed Salah,89,Liverpool
Virgil van Dijk,89,Liverpool
Casemiro,89,Manchester United
Bernardo Silva,88,Manchester City
Bruno Fernandes,88,Manchester United
Ederson,88,Manchester City
Martin Ødegaard,87,Arsenal
Heung Min Son,87,Tottenham Hotspur
Bukayo Saka,86,Arsenal
Sandro Tonali,86,Newcastle United
Christopher Nkunku,86,Chelsea
Trent Alexander-Arnold,86,Liverpool
Andrew Robertson,86,Liverpool
Bruno Guimarães,85,Newcastle United
Phil Foden,85,Manchester City
Declan Rice,85,Arsenal
Marcus Rashford,85,Manchester United
André Onana,85,Manchester United
Diogo Jota,85,Liverpool
Thomas Partey,85,Arsenal
Leon Goretzka,85,Chelsea
Jack Grealish,85,Manchester City
John Stones,85,Manchester City
Emiliano Martínez,85,Aston Villa
Raphaël Varane,85,Tottenham Hotspur
Kieran Trippier,85,Newcastle United
Sven Botman,84,Newcastle United
Gabriel Martinelli,84,Arsenal
Moussa Diaby,84,Aston Villa
Luis Díaz,84,Liverpool
Lisandro Martínez,84,Manchester United
Reece James,84,Chelsea
Aaron Ramsdale,84,Arsenal
Gabriel,84,Arsenal
Gabriel Jesus,84,Arsenal
James Maddison,84,Tottenham Hotspur
Pierre-Emile Højbjerg,84,Tottenham Hotspur
Nick Pope,84,Newcastle United
Thiago,84,Liverpool
Kyle Walker,84,Manchester City
Thiago Silva,84,Chelsea
Enzo Fernández,83,Chelsea
Cody Gakpo,83,Liverpool
Pau Torres,83,Aston Villa
Palhinha,83,Fulham
Luke Shaw,83,Manchester United
Jorginho,83,Arsenal
Raheem Sterling,83,Chelsea
Christian Eriksen,83,Manchester United
Hugo Lloris,83,Tottenham Hotspur
Antony,82,Manchester United
Darwin Núñez,82,Liverpool
Joško Gvardiol,82,Manchester City
Guglielmo Vicario,82,Tottenham Hotspur
Alexis Mac Allister,82,Liverpool
Dominik Szoboszlai,82,Liverpool
Kai Havertz,82,Arsenal
Alexander Isak,82,Newcastle United
Jadon Sancho,82,Manchester United
Cristian Romero,82,Tottenham Hotspur
Manuel Akanji,82,Manchester City
Rodrigo Bentancur,82,Tottenham Hotspur
Joelinton,82,Newcastle United
Youri Tielemans,82,Aston Villa
Mark Flekken,82,Brentford
Fabian Schär,82,Newcastle United
Mateo Kovačić,82,Manchester City
Jordan Pickford,82,Everton
Callum Wilson,82,Newcastle United
Balde,81,Newcastle United
Beto,81,Everton
Dejan Kulusevski,81,Tottenham Hotspur
Pedro Porro,81,Tottenham Hotspur
Ibrahima Konaté,81,Liverpool
Arnaut Danjuma,81,Everton
Edson Álvarez,81,West Ham United
Ibrahim Sangaré,81,Nottingham Forest
Lucas Paquetá,81,West Ham United
Mason Mount,81,Manchester United
Miguel Almirón,81,Newcastle United
Ben Chilwell,81,Chelsea
Giovani Lo Celso,81,Tottenham Hotspur
Diego Carlos,81,Aston Villa
Odisseas Vlachodimos,81,Nottingham Forest
Nathan Aké,81,Manchester City
Leandro Trossard,81,Arsenal
Lewis Dunk,81,Brighton & Hove Albion
Bernd Leno,81,Fulham
